Keys,Context,ZH
Close Window,,关闭窗口
Keep Panel Open,,保持面板打开
Switch to grid view,,切换到网格视图
Home,,家
Editor Only,,Editor只
Save Language Keys,,保存语言的按键
Generate Thumbnails,,生成缩略图
File,,文件
New...,,新...
Open...,,打开...
Create...,,创建...
Save...,,保存...
Show My Simulation Folder,,显示我的模拟文件夹
Restart Simulation,,重新启动仿真
Activities,,活动
Introduction,,介绍
Climate Intro,,气候简介
Exploring the Solar Neighborhood,,探索太阳能邻居
Eccentricity Intro,,偏心简介
Phases of the Moon,,月相
Feedback,,反馈
Run Performance Test,,运行性能测试
Send Feedback,,发送反馈
Show Log File in Folder,,在文件夹日志文件
Open Log File,,打开日志文件
Open Crash Dump Location,,打开崩溃转储位置
Experimental,,试验
Hands Free Demo,,免提演示
Toggle VR Mode,,切换VR模式
Tools,,工具
Graphs,,图表
Profiler,,探查
Compare Objects,,比较对象
Links,,链接
What's New,,什么是新的
Credits,,积分
Forum,,论坛
Troubleshooting,,故障排除
Exit,,出口
Main,,主要
Open,,打开
Create,,创建
Core,,核心
Graphics Quality,,图形质量
Video,,视频
Texture Resolution,,纹理分辨率
Filtering Quality,,过滤质量
Effects Quality,,影响质量
Antialiasing,,抗锯齿
Vertical Sync,,垂直同步
Shadows,,阴影
Decals,,贴花
Glows,,光晕
Extra Particles,,额外的颗粒
Displacement Mapping,,位移贴图
Render Mode,,渲染模式
Volume,,卷
Master Volume,,主音量
Music Volume,,音乐音量
Input,,输入
Invert Scroll Wheel,,反转滚轮
Use Controller,,使用控制器
Performance,,性能
Use multi-core,,使用多核心
Pause on low FPS,,暂停低FPS
Low FPS Threshold,,低门槛FPS
Max Attracting Bodies,,最大吸引机构
Max Non-Attracting Bodies,,最大非吸引机构
Max Decals,,最大贴花
Debug,,调试
Debug Info,,调试信息
Attractor Lines,,吸引线
Impact Lines,,影响线
linkMassToBodyDefault,,linkMassToBodyDefault
linkRadiusToBodyDefault,,linkRadiusToBodyDefault
linkAtmosphereDefault,,linkAtmosphereDefault
TargetFrameRate,,TargetFrameRate
Window Resolution,,窗口分辨率
Reset,,重启
Settings,,设置
Add,,加
Powers,,鲍尔斯
Chart,,图表
Properties,,属性
Each Frame,,每一帧
On Demand,,一经请求
Graph,,图形
Timespan,,时间跨度
X Value,,X值
X Unit,,X单位
Y Value,,Y值
Y Unit,,Y单
Advanced,,高级
MouseSensitivity,,鼠标灵敏度
X Axis,,X轴
Y Axis,,Y轴
Legend,,传说
Labels,,标签
GridColor,,GridColor
LabelsColor,,LabelsColor
HighlightColor,,HighlightColor
Compare,,比较
Scripting,,脚本
Paths,,路径
Scripts,,脚本
Ambience,,环境
Presets,,预置
Grid,,格
Opacity,,不透明度
3D Labels,,3D标签
Icons,,图标
Trails,,路线
Context,,上下文
Width,,宽度
Length,,长度
Intensity,,强度
Orbits,,轨道
Orbit Context,,轨道上下文
Orbit Width,,轨道宽度
Orbit Intensity,,轨道强度
Projected Paths,,预计路径
Rays,,阳光
Long/Latitude Lines,,朗/纬度线
Velocity Lines,,速度线
Lighting Mode,,照明模式
Light Intensity,,光强
Body Colors,,车身颜色
Habitable Zones,,宜居带
SPH - Hidden in Build,,SPH  - 隐藏在构建
SPH Display Mode,,SPH显示模式
SPH Sample Mode,,SPH采样模式
SPH Render Mode,,SPH渲染模式
View,,视图
Simulation,,模拟
Help,,帮帮我
Edit,,编辑
home,,家
select,,选择
edit,,编辑
add,,加
powers,,权力
script,,脚本
play_pause,,play_pause
sim,,SIM卡
view,,视图
chart,,图表
standard,,标准
find,,找
help,,帮帮我
feedback,,反馈
profiler,,探查
restart,,重新开始
Time,,时间
increase,,增加
decrease,,减少
Gravity,,重力
Tolerance,,公差
IntegratorId,,IntegratorId
IntegrationMode,,IntegrationMode
Compute Device,,计算设备
Accuracy,,准确性
Collisions,,碰撞
Enable Collisions,,启用碰撞
Collision Mode,,碰撞模式
MaintainCenterOfMass,,MaintainCenterOfMass
SlidingMotionDampning,,SlidingMotionDampning
AbsorptionRadiusScalar,,AbsorptionRadiusScalar
ShockWaveRangeMultiplier,,ShockWaveRangeMultiplier
ShockWaveGradualEnergyScalar,,ShockWaveGradualEnergyScalar
FragmentRandomVelocityScale,,FragmentRandomVelocityScale
FragmentRandomAngularVelocityScale,,FragmentRandomAngularVelocityScale
LossRatio,,损失率
EjectionVelocityRandomScalar,,EjectionVelocityRandomScalar
OrthogonalEjectionVelocityScalar,,OrthogonalEjectionVelocityScalar
EjectionVelocityScalar,,EjectionVelocityScalar
Particle Density,,粒子密度
Pause on Collision,,暂停在碰撞
Volatile Tails,,挥发性尾巴
Comets,,彗星
Comet Tail Acceleration Multiplier,,彗尾加速倍增
Stellar Flares,,恒星耀斑
Flare Frequency Multiplier,,火炬倍频器
Flare Duration Multiplier,,耀斑持续时间乘数
Tides,,潮汐
Tidal Heating,,潮汐加热
Bodies heat through friction when they are deformed by tidal forces,,体加热通过摩擦当它们被潮汐力变形
Tidal Heating Multiplier as Log,,潮汐加热乘数为日志
Multiply the effect of tidal heating,,乘潮汐加热的效果
Coming in a Future Update,,即将在未来的更新
Tidal Evolution,,潮汐演进
The orbit and rotation of a body is affected by tidal forces,,身体的轨道和旋转受到潮汐力
Tidal Evolution Multiplier,,潮汐演进乘数
Multiply the effect of tidal evolution,,乘潮演变的影响
Universal Drag,,通用将
Totally fake effect - as if there were atmosphere everywhere to cause drag,,全假的效应 - 因为如果有气氛无处不造成拖累
Drag Reference Frame,,拖动参考框架
Density of Space,,空间密度
Drag Coefficient,,风阻系数
Actions,,操作
Reverse All Velocities,,反向所有力度
Halt All Velocities,,暂停所有力度
Halt All Rotations,,暂停所有旋转
+2% All Velocities,,+ 2％所有力度
-2% All Velocities,,-2％所有力度
+2% All Rotations,,+ 2％所有旋转
-2% All Rotations,,-2％所有旋转
Balance Simulation Momentum,,平衡仿真动量
Delete All Particles/Dust,,删除所有粒子/尘埃
Delete All Fragments,,删除所有片段
Delete All Trail Data,,删除所有跟踪数据
Auto Orbit,,自动轨道
Focus on Center Body,,专注于中心体
Expand - Not in Steam,,展开 - 而不是蒸汽
Shrink - Not in Steam,,收缩 - 而不是蒸汽
Stats,,信息与统计
Body Count,,死亡人数
Simulated,,模拟
NonSimulated,,非模拟
Attracting,,吸引
NonAttracting,,NonAttracting
Star Count,,恒星计数
Mass,,块
Velocity,,速度
Momentum,,动量
General,,一般
Show Trail,,显示步道
Show Orbit,,显示轨道
Name,,名称
Radius,,半径
Density,,密度
Age,,年龄
Surface Temperature,,表面温度
Surface temperature of the body,,所述主体的表面温度
Total Velocity,,总速度
Relative Total Velocity,,相对总速度
Relative Body,,相对身体
Orbital Parent,,轨道父
The body that this body orbits,,身体，这个身体轨道
Rotational Period,,自转周期
Amount of time it takes for this body to spin once,,的时间花费这身旋转一次
Position Lock,,位置锁定
Tidally Lock,,潮汐力锁定
Display Settings,,显示设置
Hide Rotation,,隐藏旋转
Display Mode,,显示模式
DisplayFlags,,DisplayFlags
Axis,,轴
Obliquity,,倾角
Angle between rotation axis and orbital plane,,旋转轴与轨道面之间的角度
Argument of Obliquity,,倾角的参数
Defines where in the orbit the rotation axis points,,定义了在轨道上旋转轴分
Orbital Elements,,轨道要素
Semi-Major Axis,,半长轴
The typical distance from the orbital parent body,,从眶母体的典型距离
Eccentricity,,怪癖
How circular (0) to not circular (1) the orbit is,,如何圆形（0）到不是圆形的（1）的轨道是
Inclination,,倾角
Angle between the orbital plane and a reference plane,,轨道平面和基准平面之间的夹角
Argument of Periapsis,,拱点的参数
Describes the orientation of the orbital plane - where the closest approach point is,,介绍了轨道平面的方向 - 在最接近点
Right Ascension of the Ascending Node,,升交点赤经
Where the orbit passes upward through the reference frame,,其中轨道通过参考帧向上穿过
Mean Anomaly,,平均异常
Where in the orbit the body currently is,,凡在轨道体目前
Orbital Period,,轨道周期
Amount of time it takes for the body to orbit its parent,,的时间花费身体轨道其父
Periapsis Distance,,拱点距离
Distance of closest approach,,最接近的距离
Apoapsis Distance,,远拱点距离
Distance of furthest approach,,最远的做法距离
Temperature,,温度
Tidal Power,,潮汐发电
Amount of energy per second from tidal heating,,能量的量每秒从潮汐加热
Radiative Power,,辐射功率
Amount of energy per second absorbed from radiative sources,,每秒能量的量从辐射源吸收
Effective Temperature,,有效温度
Calculated from all heating sources,,从所有加热源计算
Dynamic,,动态
Position,,位置
Orientation,,方向
AngularVelocity,,角速度
SubStepCount,,SubStepCount
Camera Relative,,相机相对
Normalized Light Curve,,规格化的光曲线
Fraction of star light reaching the camera,,星光的分数到达相机
Radial Velocity,,径向速度
Speed of selected object toward or away from the camera,,朝向或远离照相机选择的对象的速度
Camera Inclination,,照相机倾斜
Angle between plane and camera position,,平面和照相机位置之间的角度
Camera Azimuth,,相机方位
Camera Rotation Angle,,摄像头旋转角度
Albedo,,反照率
Reflectivity of the body from 0-1,,从0-1身体的反射率
Albedo Feedback,,反照率反馈
Greenhouse Effect,,温室效应
How Much Warmer Than Without an Atmosphere,,如何比没有的气氛暖和
Atmosphere Mass,,大气质量
Surface Pressure,,表面压力
Scale Height,,标高
Enable Climate,,气候启用
Temperature Depends on Latitude,,温度取决于纬度
Optimize for Climate View,,优化气候查看
Show Atmosphere,,展会气氛
Show Clouds,,显示云
Heat Capacity of Air,,空气的比热容
Heat Capacity of Air + Ocean Mixed Layer,,空运和海运混合层的热容
Land-Ocean Heat Coupling Factor,,陆地 - 海洋热力耦合因子
Equator-to-Pole Diffusion,,赤道到极扩散
Simulate Hadley Cell,,模拟哈德利细胞
Reset Climate to Default,,气候重置为默认值
Defines direction the rotation axis points,,限定方向上的旋转轴线的点
Avg. Distance to Star,,平均。距离星
The average distance to the Sun,,到太阳的平均距离
Cumulative Properties,,累积属性
Debug Tools,,调试工具
RadiusTuningFactor,,RadiusTuningFactor
disableInterpolation,,disableInterpolation
linkMassToBody,,linkMassToBody
linkRadiusToBody,,linkRadiusToBody
linkAtmosphere,,linkAtmosphere
PastType,,PastType
PresentType,,PresentType
FutureType,,FutureType
Transition,,过渡
Category,,类别
Base,,基础
Celestial,,天上
ChartComponent,,ChartComponent
OrbitalElements,,OrbitalElements
AppearanceComponent,,AppearanceComponent
Composition,,组成
DustParticleTail,,DustParticleTail
IonTail,,IonTail
TrailComponent,,TrailComponent
ClimateComponent,,ClimateComponent
Persistence,,坚持
Save this object,,保存此对象
Open Bodies Folder,,开启机关的文件夹
Misc,,杂项
Launch Fireworks,,启动Fireworks
Zero Velocity,,零速度
Explosion,,爆炸
Energy,,能源
Mars,,火星
Find,,找
All,,所有
Internal,,内部
Bugs,,错误
Old Internal,,旧的内部
Solar Sys,,太阳能Sys系统
Planets,,行星
Exoplanets,,系外行星
Supernovas,,超新星
Stress Tests,,压力测试
Experiments,,实验
Human Scale,,人体秤
Other Tests,,其他测试
My Sims,,我的模拟人生
Choreo,,Choreo
Systems,,系统
Galaxies,,星系
Encounters,,邂逅
Grids,,网格
Chaotic Orbits,,混沌轨道
Stars,,明星
Minor,,次要
Black Holes,,黑洞
Common,,共同
Moons,,月亮
Objects,,对象
User Objects,,用户对象
Rings,,戒指
1D,,1D
2D,,2D
3D,,3D
Procedural,,程序
Textured,,纹理
Planet,,行星
Basic,,基本
Materials,,物料
Orcus,,奥喀斯
Climate,,气候
Copy Language Keys to Clipboard,,副本语言的按键到剪贴板
High,,高
Medium,,中
Low,,低
Off,,离
  2x   Multisampling,,  2X多重采样
  4x   Multisampling,,  4倍多采样
  8x   Multisampling,,  8倍速多重采样
Realistic,,实际
Wireframe,,线框
Retro,,复古
Sketchbook,,写生
Relief,,浮雕
Underwater,,水下
Selected,,选
Auto,,汽车
Studio,,工作室
Flash Light,,闪光灯
Acceleration,,促进
Physics,,物理
Flat,,平面
Billboard,,广告牌
Cross,,交叉
Color,,颜色
Pressure,,压力
Gauss,,高斯
Circular,,圆
Additive,,添加剂
Alpha,,Α
Time +,,时间+
TimeStepModeDependant,,TimeStepModeDependant
Euler Explicit,,欧拉明确
Euler Semi Implicit,,欧拉半隐式
RK2,,RK2
RK4,,RK4
RKF,,RKF
Velocity Verlet,,速度verlet的
Forest Ruth,,林露丝
PEFRL,,PEFRL
Fixed,,固定
Global Adaptive,,全局自适应
Enable Fragments,,启用片段
Awesome,,真棒
Barycenter,,重心
Most Massive Body,,最庞大的身躯
Fixed Grid,,定格
Info & Stats,,信息与统计
Default,,默认
Elevation,,海拔
Surface Features,,表面特征
None,,没有
Trail,,落后
Orbit,,轨道
Prefab,,预制
Black Hole,,黑洞
Star,,星
Gas Giant,,天然气巨头
Terrestrial Planet,,类地行星
Planetoid,,小行星
Physics Object,,物理对象
Lock Position,,锁定位置
Collider,,对撞机
Collider Group Major,,对撞机的主要组
Gravity Attracting,,重力吸引
Fragmenting,,分割
Momentum Less,,动量少
Collision,,碰撞
Timeout,,时间到
Protocol,,协议
Nova,,新星
Deletion,,删除
Regular,,定期
Brown Dwarf,,褐矮星
White Dwarf,,白矮星
Neutron Star,,中子星
DEFAULT,,默认
FRAGMENTATION,,破碎
Rock,,岩
Terran,,人族
Desert,,沙漠
Ice,,冰
Local Laplace,,当地拉普拉斯
Ecliptic,,黄道
Equatorial,,赤道
Charon,,卡戎
RCP8 5,,RCP8 5
RCP6,,RCP6
RCP4 5,,RCP4 5
RCP2 6,,RCP2 6
Levels,,水平
Seed,,种子
StarIntensity,,StarIntensity
Brightness,,亮度
Contrast,,对比
Saturation,,饱和
ClampToHorizon,,ClampToHorizo​​n
Colors,,颜色
BaseColor,,基本颜色
Color1,,COLOR1
Color2,,COLOR2
Solid Color,,纯色
Texture,,质地
Mode,,模式
Manual,,手册
Automatic,,自动
AmbientLight,,环境光
Manual Ambient Color,,手册环境色
Ambient Brightness,,环境亮度
BackgroundRotation,,BackgroundRotation
BackgroundTextureSource,,BackgroundTextureSource
Save as...,,另存为...
StartDate,,开始日期
StartPaused,,StartPaused
Body A,,形体将
Rotation Period,,自转周期
Body B,,体B
Collider Count,,撞机计数
Sec Before Collision (real time),,二段碰撞前（实时）
Pos H Offset in Rad A,,波什^ h偏移的拉德一
Pos V Offset in Rad A,,波什垂直偏移在拉德一
Angle H,,角h
Angle V,,角度v
Time Between Colliders,,时间对撞机之间
System,,系统
A + B Groups,,A + B组
Time Offset Each Group,,时间偏移每个组
Collision Resolution,,冲突解决
Velocity X,,速度x
Velocity Y,,速度ÿ
Velocity Z,,速度ž
Time Step Rate,,时间步长率
Real Time,,即时的
Time Step Mode,,时间步模式
Reset Camera,,重置相机
Options,,选项
Initialize Climate,,气候初始化
Body,,身体
Separation in Radii,,分离在半径
Upward Velocity Scale,,向上的速度规模
Randomize,,随机化
Randomize Mass,,随机质量
Perturb Pos in Radii,,干扰波什在半径
Rate,,率
Integrator,,积分
Random Seed,,随机种子
Center Body,,中心体
NumberOfGasGiants,,NumberOfGasGiants
NumberOfPlanets,,NumberOfPlanets
NumberOfMoons,,NumberOfMoons
NumberOfSmallMoons,,NumberOfSmallMoons
Min Planet Distance By Star Radius ,,闵行星距离。通过星半径
Max Planet Distance By Star Radius ,,最大行星距离。通过星半径
Max Random Inclination of Planets,,行星的最大随机倾角
NumOfGalaxies,,NumOfGalaxies
numberOfParticles,,numberOfParticles
numberDMParticles,,numberDMParticles
relativeSize,,relativeSize
includeDarkMatter,,includeDarkMatter
E0,,E0
E1,,E1
E2,,E2
E3,,E3
E4,,E4
E5,,E5
E6,,E6
E7,,E7
S0,,S0
Sa,,萨
Sb,,锑
Sc,,SC
S Ba,,小号巴
S Bb,,小号了Bb
S Bc,,小号BC
GalaxyType,,GalaxyType
SpiralArms,,SpiralArms
ArmAngle,,ArmAngle
Arrange,,安排
Inner Radius,,内径
Outer Radius,,外半径
Right Height,,右边身高
Geo,,地理
Radius Units,,半径单位
Auto Bounds,,汽车界
Automatically compute realistic inner and outer boundaries,,自动计算现实的内部和外部边界
Show ring gaps,,环秀差距
Include gaps in rings causd by unstable resonances with orbiting bodies,,包括由不稳定的共振与转动机构causd环的差距
Rectangle,,长方形
Ring,,环
Sphere,,领域
Box,,框
Spiral,,螺旋
Torus,,花托
Shape,,形状
Fill,,填
Surface,,表面
Ordered,,有序
Random,,随机
Spacing,,间距
Linear,,线性
Quadratic,,二次
Cubic,,立方体
Exponential,,指数
Spriral Type,,Spriral类型
Spriral Revolutions,,Spriral革命
Solar System,,太阳系
Date,,日期
Start,,开始
Encounter,,遭遇
Date Meaning,,日期的含义
Dwarfs And Major Asteroids,,小矮人及主要小行星
Dwarfs And Asteroids,,小矮人和小行星
Dwarfs And Many Asteroids,,小矮人等许多小行星
Asteroids & Dwarfs,,小行星和小矮人
Earths Moon,,地球月亮
Major Moons,,主要月亮
All Moons,,所有月亮
Just Saturn,,只是土星
Visitor,,游客
Include Rogue Body,,包括盗贼身体
Rogue Body,,盗贼身体
Use Different Mass,,使用不同的质量
Body Mass,,身体质量
Distance from Aim Point,,从目标点距离
Aim Target,,瞄准目标
Aim Point X Offset,,瞄准点X偏移
Aim Point Y Offset,,瞄准点Y偏移
1 - Delete Rogue Body,,1  - 删除流氓体
2 - Balance Simulation Momentum,,2  - 平衡仿真动量
3 - Delete All Trail Data,,3  - 删除所有跟踪数据
Copy Settings to Clipboard,,复制设置到剪贴板
MassValues,,MassValues
Mass Low,,质量低
Mass High,,质量高
Mass Logarithmic,,大众对数
TempValues,,TempValues
Temperature Low,,温度低
Temperature High,,温度高
Temperature Logarithmic,,温度对数
Fragment,,分段
Body Type,,体型
Four Materials,,四种材料
viewAngle,,viewAngle
Sun,,太阳
Semi Major Axis,,半轴
Right Asc Of Asc Node,,右升序升序节点
Arg Of Perigee,,arg的近地点